content_ko	content_en
인기 음악과 상대적으로 알려지지 않은 음악 중 어떤 것을 더 좋아하나요?	Which do you prefer, popular music or relatively unknown music?
당신을 정의하는 것은 무엇인가요?	What defines you?
언제 은퇴하고 싶나요?	When do you want to retire?
가장 큰 도전 과제는 무엇인가요?	What are some of the biggest challenges you have faced?
돈을 어디에 쓰는 것을 좋아하나요?	What do you like to spend your money on?
정말로 하고 싶은 일을 막는 것은 무엇인가요?	What things hold you back from doing the things that you really want to?
세상을 더 나은 곳으로 만들 계획이 있나요?	How do you plan to make the world a better place?
당신의 차에 이름이 있나요?	Does your car have a name?
오늘 하나의 소원이 이루어지길 원하나요, 아니면 5년 후에 세 개의 소원이 이루어지길 원하나요?	Would you rather have one wish granted today or three wishes granted five years from now?
영혼의 반려자를 믿나요?	Do you believe in soul mates?
이번 주의 하이라이트는 무엇이었나요?	What was the highlight of your week?
모든 생명이 동일한 가치를 가지고 있다고 생각하나요?	Are some lives more valuable than others?
당신의 첫 스마트폰은 무엇이었나요?	What was your first smartphone?
TV 프로그램이 어떻게 변해왔나요?	How have TV shows changed over the years?
매일 방문하는 웹사이트 세 곳은 어디인가요?	What three websites do you visit daily?
많은 도시에서 주차 문제가 있습니다. 당신의 도시에서 주차를 어떻게 개선할 수 있을까요?	Parking is a problem in many cities. How could parking in your city be improved?
당신이 왕/여왕이라면, 당신의 왕좌는 어떻게 생겼을까요?	If you were a king/queen, what would your throne look like?
봉제인형과 함께 자나요?	Do you sleep with a stuffed animal?
언론인들이 보도하는 뉴스의 정확성을 얼마나 책임져야 한다고 생각하나요?	How accountable should journalists be to making sure the news they are reporting is accurate?
전문적으로 이루고 싶은 것은 무엇인가요?	What do you hope to achieve in your professional life?
완벽한 주말은 무엇인가요?	What would be your perfect weekend?
지금 인기가 많은 사람 중 정말로 좋아하는 사람은 누구인가요?	Who is someone who is popular now that you really like?
휴대폰에서 가장 유용한 앱은 무엇인가요?	What is the most useful app on your phone?
가장 좋아하는 위로 음식은 무엇인가요?	What's your favorite comfort food?
가장 좋아하는 사탕은 무엇인가요?	What is your favorite candy?
당신은 좋은 친구인가요?	Are you a good friend?
모든 악기를 마스터할 수 있다면, 아니면 모든 언어를 유창하게 할 수 있다면 어떤 것을 선택하겠습니까?	Would you rather be a master of every musical instrument or be fluent in every language?
가장 웃긴 TV 시리즈는 무엇인가요?	What's the funniest TV series you have seen?
가장 어려운 스포츠는 무엇인가요?	What is the hardest sport to excel at?
더 키가 작았으면 좋겠나요?	Do you wish you were shorter?
비행이 8시간 지연되는 것과 짐을 잃어버리는 것 중 무엇을 선택하겠습니까?	Would you rather your flight be delayed by 8 hours or lose your luggage?
실패할 수 없다는 것을 알면 무엇을 하겠습니까?	If you knew you couldn't fail, what would you do?
다른 사람은 신경 쓰지 않지만 정말 짜증나는 것은 무엇인가요?	What is something that really annoys you but doesn't bother most people?
돈으로 행복을 살 수 없다면, 돈 없이도 진정으로 행복할 수 있을까요?	If money cannot buy happiness, can you ever be truly happy with no money?
당신의 삶이 하나의 식사라면, 어떤 식사일까요?	If your life was a meal, what kind of meal would it be?
여행 그룹 패키지에 대해 어떻게 생각하나요?	What do you think of tour group packages?
냄새를 맡을 수 없게 되는 것과 주변의 모든 것을 코앞에서 맡는 것처럼 맡는 것 중 무엇을 선택하겠습니까?	Would you rather have no sense of smell or smell everything near you as though it were right in front of your nose?
받은 최고의 조언은 무엇인가요?	What is the best piece of advice you've received?
과대평가된 여행지는 어디였나요?	What was the most over hyped place you've traveled to?
사용하기 정말 어려운 기술은 무엇인가요?	What piece of technology is really frustrating to use?
패션이 사회에 어떤 도움을 줄까요?	Does fashion help society in any way?
가장 아름다운 곳은 어디였나요?	Where is the most beautiful place you have been?
절대 직면하고 싶지 않은 도전 과제는 무엇인가요?	What is a challenge you would never want to face?
긴 하루를 보낸 후 친구들과 어울리는 것을 더 좋아하나요, 아니면 혼자 시간을 보내는 것을 더 좋아하나요?	After a long day, do you prefer to hang out with friends or spend time alone?
가족 중 선물을 잘 주는 사람은 누구인가요?	Who in your family gives good gifts?
이미 달성한 목표는 무엇인가요?	What are some goals you have already achieved?
종이책과 전자책 중 어떤 것을 더 선호하나요?	Do you prefer physical books or eBooks?
가장 좋아하는 셔츠는 무엇인가요?	What is your favorite shirt?
학교나 직장에서 문제를 일으킨 적이 있나요?	What is something that you have gotten in trouble for at school/work?
죽음 후에 무엇이 일어난다고 생각하나요?	What do you think happens after death?
매일 일어나는 기적은 무엇인가요?	What is a miracle that happens every day?
언론이 사회에 어떤 역할을 하나요? 잘 하고 있나요?	How does journalism serve society? Is it doing a good job?
혼자 여행하는 것을 좋아하나요, 아니면 그룹과 함께 여행하는 것을 좋아하나요?	Do you prefer traveling alone or with a group?
언론인이라는 직업이 존경받을 만한 직업이라고 생각하나요?	Is being a journalist a respectable job?
여행을 좋아하나요, 아니면 집에 가까이 있는 것을 선호하나요?	Do you prefer to travel or stay close to home?
옳은 일을 하는 것과 일을 제대로 하는 것 중 무엇이 더 중요하다고 생각하나요?	Should people care more about doing the right things, or doing things right?
고양이와 개 중 어떤 것을 더 좋아하나요?	Do you prefer cats or dogs?
히치하이킹에 대해 어떻게 생각하나요?	What is your opinion of hitch-hiking?
선물 쇼핑을 좋아하나요?	Do you enjoy shopping for gifts?
좋은 기억을 떠올리게 하는 냄새는 무엇인가요?	What smell brings back great memories?
받은 교육이 당신의 삶을 어떻게 바꾸었나요?	How has the education you received changed your life?
온라인 교육에 대해 어떻게 생각하나요?	What do you think of online education?
친구와 지인의 차이점은 무엇인가요?	What is the difference between friends and acquaintances?
친구와 가족이 당신을 어떻게 묘사할까요?	How would your friends and family describe you?
휴대폰을 집에 두고 나가면 어떤 기분이 드나요?	How do you feel if you accidentally leave your phone at home?
이상한 믿음이 있나요?	What are some strange beliefs that you have?
매운 음식을 좋아하나요?	Do you like spicy food?
가장 긴 비행은 무엇이었나요?	What is the longest plane trip you have taken?
가장 도전적인 직업은 무엇인가요?	What is the most challenging job you can think of?
마지막으로 읽은 책은 무엇인가요?	What was the last book you read?
뷔페에 대해 어떻게 생각하나요?	What do you think buffets?
암벽 등반을 해본 적이 있나요?	Have you ever been rock climbing?
항상 최신 휴대폰을 가지고 있나요?	Do you always have the latest phone?
복권에 당첨되면 계속 일하거나 학교에 다닐 건가요?	If you win the lottery would you still be working or going to school?
세 가지 소원을 이룰 수 있다면, 무엇을 원하겠습니까?	If you had three wishes, what would they be?
큰 가족 모임에 참석한 적이 있나요? 어땠나요?	Have you ever been to any large family reunions? How was it?
여자로서 가장 힘든 것은 무엇인가요?	What's the hardest thing about being a girl?
한 번도 해본 적 없지만 해보고 싶은 것은 무엇인가요?	What is something you have never done but would like to do?
가장 짜증나는 습관은 무엇인가요?	What is the most annoying habit someone can have?
남자로서 가장 힘든 것은 무엇인가요?	What's the hardest thing about being a boy?
집을 얼마나 자주 청소하나요?	How often do you clean your home?
당신의 삶에 가장 큰 영향을 미친 책은 무엇인가요?	What book has had the biggest impact on your life?
휴가를 계획할 때 환경 문제를 고려하나요?	Do you consider environment issues when you plan and take a vacation?
마지막으로 정말 열심히 일한 것은 언제인가요?	What was the last time you worked incredibly hard?
샤워를 하지 않고 가장 오래 버틴 시간은 얼마인가요?	What's the longest you've gone without showering?
휴대폰을 얼마나 자주 사용하나요?	How often do you use your phone?
언론이 어떻게 개선될 수 있을까요?	How can journalism be improved?
가장 놀라운 일몰을 본 곳과 시간은 언제인가요?	Where and when was the most amazing sunset you have ever seen?
가장 자주 사용하는 교통수단은 무엇인가요?	What method of transport do you use most often?
진실이란 무엇인가요?	What is truth?
어떤 초능력을 가지고 싶나요?	If you could have any super power, what would it be?
매우 다른 문화적 배경을 가진 사람들이 평화롭게 함께 살 수 있을까요?	Can people with vastly different cultural backgrounds live together peacefully?
많은 활동이 포함된 휴가를 좋아하나요, 아니면 더 편안한 휴가를 좋아하나요?	Do you prefer vacation which include a lot of activities or more relaxing ones?
이상적인 휴가지가 어디인가요?	Where would your ideal holiday destination be?
긴 크루즈 여행을 가고 싶나요?	Would you like to go on a long cruise?
책과 영화 중 어떤 것을 더 좋아하나요?	Which do you prefer, books or movies?
휴가가 끝나면 일(또는 학교)로 돌아가는 것이 기쁜가요, 아니면 두려운가요?	When your holiday is finished are you glad to get back to work (or school) or do you dread it?
지난 주말에 특별한 일을 했나요?	Did you do anything special this past weekend?
반에서 가장 웃긴 아이였나요, 아니면 선생님의 애완동물이었나요?	Were you the class clown or teacher's pet?
누군가가 당신의 생명을 구한 적이 있나요?	Has anyone ever saved your life?
어디에서 자랐나요?	Where did you grow up?
쉬는 시간에 무엇을 했나요?	What do you do during recess?
어떤 기술이 중세 유럽 사람들에게 기적이나 마법처럼 보일까요?	What piece of technology would look like magic or a miracle to people in medieval Europe?
상한 우유를 마시는 것과 공공장소에서 바지를 적시는 것 중 무엇을 선택하겠습니까?	Would you rather drink a cup of spoiled milk or pee your pants in public?
SF 영화에서 어떤 기술을 가장 가지고 싶나요?	What technology from a science fiction movie would you most likely to have?
가장 이상한 영화는 무엇이었나요?	What's the strangest movie you have ever seen?
세계에서 누구에게나 전화를 걸어 한 시간 동안 대화할 수 있다면 누구에게 전화를 걸겠습니까?	If you could call up anyone in the world and have a one hour conversation, who would you call?
다섯 가지 감각 중 하나를 포기해야 한다면, 어떤 것을 선택하겠습니까? 왜 그렇죠?	If you had to give up one of your five senses, which one would it be and why?
세계를 어떻게 바꾸고 싶나요?	How would you change the world if you could?
다음 큰 기술 발전은 무엇이 될 것 같나요?	What do you think the next big technological advance will be?
당신의 성격 중 가장 유용한 특징은 무엇인가요?	Which of your personality traits has been the most useful?
유행하는 옷을 입는 것과 편안한 옷을 입는 것 중 어떤 것을 더 좋아하나요?	Do you prefer to wear fashionable clothes or comfortable clothes?
가장 좋은 생일 선물은 무엇이었나요?	What was the best birthday gift you ever had?
신발을 벗을 때 끈을 풀나요?	Do you untie your shoes before taking them off?
가장 최근에 성공한 일은 무엇인가요?	What is the most recent success you've had?
항상 속삭이기만 하거나 항상 소리쳐야 한다면, 어떤 것을 선택하겠습니까?	Would you rather only be able to whisper or only be able to shout everything?
운명을 믿나요?	Do you believe in fate?
앱 개발자들이 정말 짜증나게 하는 것은 무엇인가요?	What do app makers do that really annoys you?
도전이 사람의 성격을 향상시키나요?	Do you think that challenges improve a person's character?
영화를 극장에서 보는 것과 집에서 보는 것 중 어떤 것을 더 선호하나요?	Do you prefer to watch movies in the theater or at home?
잠들기 전에 마지막으로 생각하는 것은 무엇인가요?	What is the last thing that you think of before you go to sleep?
예술이 사회에 어떤 역할을 하나요?	What is the purpose of art in society?
가장 좋아하는 장난감은 무엇인가요?	What is your favorite toy?
한 번 해본 것이지만 다시는 하고 싶지 않은 것은 무엇인가요?	What is something you've but would never do again?
삶에서 가장 아름다운 것은 무엇인가요?	What is the most beautiful thing in your life?
당신의 인생이 닮고 싶은 TV 프로그램은 무엇인가요?	Which TV show do you want your life to be like?
스스로 결정을 내리나요, 아니면 다른 사람들이 대신 결정을 내리도록 하나요?	Do you make your own decisions, or let others make them for you?
멍청이들 사이의 천재로 사는 것과 천재들 사이의 멍청이로 사는 것 중 어떤 것을 선택하겠습니까?	Would you rather be a genius in a world of morons, or a moron in a world of geniuses?
정말 기뻤던 패션 트렌드는 무엇인가요?	What is a fashion trend you are really glad went away?
항상 기분 좋게 해주는 노래는 무엇인가요?	What song always puts you in a good mood?
지난 주에 가장 늦게까지 깨어있었던 시간은 언제인가요?	What is the latest you've stayed up this past week?
집에서 가장 좋은 방은 어디인가요?	What is the best room in your house?
꿈의 집을 설명해 주세요.	Describe your dream house.
삶의 의미는 무엇인가요?	What do you think is the meaning of life?
가장 끔찍한 직업은 무엇이었나요?	What was the worst job that you've ever had?
휴가를 갈 때 투어에 참여하는 것과 모든 것을 직접 계획하는 것 중 어떤 것을 선호하나요?	When going on a vacation, would you prefer to join a tour or plan out everything by yourself?
어린 시절 가장 좋아했던 책은 무엇인가요?	What was your favorite book as a child?
가장 미친 다이어트는 무엇이었나요?	What is the craziest diet you've heard of?
어떤 아이였나요? 수줍음이 많았나요, 문제를 일으키는 아이였나요, 조용했나요?	What type of kid were you? Shy, trouble maker, quiet?
교육의 미래는 어떻게 될까요?	What will the future of education be?
사람들이 다른 사람들을 도와야 할 의무가 있나요?	Do people have an obligation to help others?
가장 좋아하는 어린이 책은 무엇인가요?	What is your favorite children's book?
보기에는 끔찍하지만 맛은 훌륭한 음식은 무엇인가요?	What food looks disgusting but tastes delicious?
다른 사람들의 성격 중 어떤 점을 싫어하나요?	What personality traits in other people do you hate?
오늘 누군가를 도왔나요?	Did you help anyone today?
주차 티켓을 몇 번 받았나요?	How many parking tickets have you received?
기분이 나쁠 때 기분을 개선하기 위해 무엇을 하나요?	What do you do to improve your mood when you are in a bad mood?
당신 앞에 다른 세계로 가는 포털이 열립니다. 들어가시겠습니까?	A portal to another world opens in front of you. Do you go through?
리더인가요, 팔로워인가요?	Are you a leader or a follower?
음악을 듣기 위해 무엇을 사용하나요?	What do you use to listen to music?
가장 심한 부상은 무엇이었나요?	What is the worst injury you've had?
가장 어리석은 두려움은 무엇인가요?	What is the silliest fear you have?
가족 중 당신과 가장 닮은 사람은 누구인가요?	Who in your family are you most like?
최근에 본 최악의 영화는 무엇인가요?	What's the worst movie you have seen recently?
표준화된 시험에 대해 어떻게 생각하나요?	What do you think of standardized tests?
초등학교 때 가장 친한 친구는 누구였나요?	Who was your best friend in elementary school?
하루 중 가장 좋아하는 식사는 무엇인가요?	What is your favorite meal of the day?
이번 주말에 어떤 계획이 있나요?	What are your plans for this weekend?
미래로 가는 것과 과거로 가는 것 중 무엇을 선택하겠습니까?	Would you rather go forward or back in time?
마지막으로 전문 마사지나 아마추어 마사지를 받은 것은 언제인가요?	When was the last time you got a professional or amateur massage?
시간이 지나면서 마사지는 더 인기를 끌까요, 아니면 덜 인기를 끌까요?	Do you think getting massages will become more or less popular as time goes by?
가장 좋아하는 음악가는 누구인가요?	Who is your favorite music artist?
가장 좋아하는 운동 선수는 누구인가요?	Who are some of your favorite athletes?
스포츠를 정의하는 것은 무엇인가요? 낚시는 스포츠인가요? 비디오 게임 대회는 어떤가요?	What defines a sport? Is fishing a sport? How about video game tournaments?
승마에 대해 어떻게 생각하나요?	What is your opinion of horse riding?
이상적인 크리스마스는 무엇인가요?	What's an ideal Christmas for you?
부드럽고 편안한 마사지와 강한 마사지 중 어떤 것을 선호하나요?	Do you prefer gentle relaxing massages or a strong massage?
저녁 일과는 어떻게 되나요?	What is your evening routine like?
가장 중독성 있는 모바일 게임은 무엇이었나요?	What's the most addictive mobile game you have played?
1년 남았다는 사실을 알게 된다면 무엇을 하겠습니까?	If you knew that you only had a year left to live, what would you do?
잠을 많이 자나요, 아니면 적게 자나요?	Are you a heavy or a light sleeper?
미래를 얼마나 계획하나요?	How much do you plan for the future?
가장 오래된 친구는 누구인가요? 어디에서 만났나요?	Who is your oldest friend? Where did you meet them?
가장 좋아하는 피자 토핑은 무엇인가요?	What is your favorite pizza topping?
정부가 교육을 더 효율적으로 만들기 위해 무엇을 할 수 있을까요?	How can governments make education more efficient?
신생아에게 줄 한 가지 조언은 무엇인가요?	What one piece of advice would you offer to a newborn child?
항상 10분 늦게 도착하는 것과 항상 20분 일찍 도착하는 것 중 어떤 것을 선택하겠습니까?	Would you rather be 10 minutes late or be 20 minutes early for everything?
새벽 3시 이후에 얼마나 자주 깨어 있나요?	How often do you stay up past 3 a.m.?
가장 좋아하는 신발은 무엇인가요?	What is the best pair of shoes you have ever owned?
기술이 인류를 구할까요, 아니면 파괴할까요?	Will technology save the human race or destroy it?
아침에 샤워하나요, 아니면 밤에 샤워하나요? 왜 그렇죠?	Do you shower in the morning or at night? Why?
가장 좋아하는 의류 브랜드는 무엇인가요?	What is your favorite clothing brand?
놀라운 일을 하는 앱이 휴대폰에 갑자기 나타났다면, 무엇을 할까요?	An app mysteriously appears on your phone that does something amazing. What does it do?
가장 감동적인 영화 장면은 무엇인가요?	What movie scene choked you up the most?
가장 좋아하는 아이스크림 맛은 무엇인가요?	What is your favorite ice cream flavor?
좋은 차와 좋은 집 중 무엇이 더 중요한가요?	Which is more important, a great car or a great house?
가장 좋아하는 영화는 무엇인가요?	What is your favorite movie?
질문에 답할 수 없게 사는 것과 질문을 할 수 없게 사는 것 중 무엇을 선택하겠습니까?	Would you rather go through life unable to answer any questions or unable to ask any questions?
가장 끔찍한 식당 경험은 무엇이었나요?	What was your worst restaurant experience?
여행 중 사고를 당한 적이 있나요?	Have you ever had an accident while travelling?
인간 본성의 가장 좋은 부분과 나쁜 부분은 무엇인가요?	What are the best and worst parts of human nature?
실패를 승리로 바꾼 적이 있나요?	Have you ever turned a failure into a win?
대통령이 되면 가장 먼저 무엇을 하겠습니까?	If you became president, what is the first thing you would do?
명예란 무엇인가요?	What does honor mean to you?
예술 작품을 아름답게 만드는 것은 무엇인가요?	What makes a piece of art beautiful to you?
다른 나라에 있을 때 보통 문구책을 사서 현지 언어를 시도해 보나요?	When you are in another country, do you usually buy a phrase book to attempt to speak the local language?
가장 흥미진진한 스포츠는 무엇인가요?	Which sport is the most exciting to watch?
무서운 것은 무엇인가요?	What are you afraid of?
당신 나라의 교육 시스템에 대해 좋은 점과 나쁜 점은 무엇인가요?	What are some good and bad things about the education system in your country?
가장 창피한 옷은 무엇인가요?	What is the most embarrassing piece of clothing you own?
당신만의 지옥은 어떻게 생겼나요?	What does your own personal hell look like?
가장 이상한 앱은 무엇이었나요?	What is the strangest app you have heard or tried?
다음에 여행하고 싶은 곳은 어디인가요?	Where would you like to travel next?
운전할 때 가장 짜증나는 것은 무엇인가요?	What annoys you most when you are driving?
긴장을 풀기 위해 무엇을 하나요?	What do you like to do to relax?
전통적인 마사지 외에 다른 종류의 마사지를 시도해 본 적이 있나요?	Have you tried any different types of massages other than the traditional kind?
인생의 가치는 얼마인가요?	What is a year of life worth?
성격은 얼마나 유전적이고 얼마나 환경적일까요?	How much of personality is genetic and how much is from the environment?
자전거가 있나요?	Do you have a bicycle?
당신의 인생에서 가장 좋은 시기는 언제였나요? 앞으로 가장 좋은 시기는 언제일 것 같나요?	What was the best time period of your life? What do you think will be the best time period of your entire life?
캠프파이어를 시작하는 데 얼마나 능숙한가요?	How good are you at starting a campfire?
선물 주기는 모든 문화에서 공통적인가요?	Is gift giving common among all cultures?
가장 좋아하는 무알코올 음료는 무엇인가요?	What's your favorite non-alcoholic drink?
장기 목표는 무엇인가요?	What are some of your long-term goals?
사람들이 본질적으로 선하다고 믿나요?	Do you believe people are inherently good?
가장 기억에 남는 할로윈 의상은 무엇인가요?	Best Halloween costume you ever had?
부자가 되고 진정한 사랑을 찾지 못하는 것과 가난하고 진정한 사랑을 찾는 것 중 무엇을 선택하겠습니까?	Would you rather be rich and never find true love or be poor and find true love?
가장 활동적인 계절은 언제인가요?	Which season are you most active in?
시간이 멈추고 당신만 하루 동안 움직일 수 있다면 무엇을 하겠습니까?	Time freezes for everyone but you for one day. What do you do?
휴가에서 흥미로운 기념품을 가져오려고 노력하나요?	Do you usually try to bring back interesting souvenirs from your holidays?
